,name,url,_dlt_load_id,_dlt_id
0,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1732007685.616085,so15QDYfJVn2+g
1,ivysaur,https://pokeapi.co/api/v2/pokemon/2/,1732007685.616085,ph7us5aI1TAV7g
2,venusaur,https://pokeapi.co/api/v2/pokemon/3/,1732007685.616085,riaf3D/S9gdBHQ
3,charmander,https://pokeapi.co/api/v2/pokemon/4/,1732007685.616085,jOEmhqa0hpA4hQ
4,charmeleon,https://pokeapi.co/api/v2/pokemon/5/,1732007685.616085,0NMHg73kch2Lag
5,charizard,https://pokeapi.co/api/v2/pokemon/6/,1732007685.616085,41eQMkGVzM3Hrg
6,squirtle,https://pokeapi.co/api/v2/pokemon/7/,1732007685.616085,qIE7SOVx3RwrAg
7,wartortle,https://pokeapi.co/api/v2/pokemon/8/,1732007685.616085,9hmvfw4rvoz8eA
8,blastoise,https://pokeapi.co/api/v2/pokemon/9/,1732007685.616085,5duh+ke5vYjqLw
9,caterpie,https://pokeapi.co/api/v2/pokemon/10/,1732007685.616085,FEWmlVAIqUYgwQ
10,metapod,https://pokeapi.co/api/v2/pokemon/11/,1732007685.616085,3/0RgAhwuzFzRA
11,butterfree,https://pokeapi.co/api/v2/pokemon/12/,1732007685.616085,6oiP/Yk7CLwzcw
12,weedle,https://pokeapi.co/api/v2/pokemon/13/,1732007685.616085,kyOzZnE5EvDjFA
13,kakuna,https://pokeapi.co/api/v2/pokemon/14/,1732007685.616085,FEY/ht6ivnu0Hw
14,beedrill,https://pokeapi.co/api/v2/pokemon/15/,1732007685.616085,hgELH++YyJIroQ
15,pidgey,https://pokeapi.co/api/v2/pokemon/16/,1732007685.616085,kWyugnHcP/tAeQ
16,pidgeotto,https://pokeapi.co/api/v2/pokemon/17/,1732007685.616085,QcNDQTpyJF7+UQ
17,pidgeot,https://pokeapi.co/api/v2/pokemon/18/,1732007685.616085,bi1D0hOUdsQf0A
18,rattata,https://pokeapi.co/api/v2/pokemon/19/,1732007685.616085,kZhAfZZ4QXwXhQ
19,raticate,https://pokeapi.co/api/v2/pokemon/20/,1732007685.616085,rNbXS/plA/YFdQ
20,spearow,https://pokeapi.co/api/v2/pokemon/21/,1732007685.616085,Hg+lzD6i26SpDA
21,fearow,https://pokeapi.co/api/v2/pokemon/22/,1732007685.616085,sbUzsKp4zOmIww
22,ekans,https://pokeapi.co/api/v2/pokemon/23/,1732007685.616085,xRsZuAIs5ey0vg
23,arbok,https://pokeapi.co/api/v2/pokemon/24/,1732007685.616085,7xSOBr3+Ctf2hA
24,pikachu,https://pokeapi.co/api/v2/pokemon/25/,1732007685.616085,pbYpcAms+E+rnw
25,raichu,https://pokeapi.co/api/v2/pokemon/26/,1732007685.616085,C8BjKG7BIaSKLg
26,sandshrew,https://pokeapi.co/api/v2/pokemon/27/,1732007685.616085,tCKtmdxE1MbRYw
27,sandslash,https://pokeapi.co/api/v2/pokemon/28/,1732007685.616085,/yirANbrJW0GOw
28,nidoran-f,https://pokeapi.co/api/v2/pokemon/29/,1732007685.616085,ZtWnKQ1ABV6Wyw
29,nidorina,https://pokeapi.co/api/v2/pokemon/30/,1732007685.616085,HVNPZ6JNLGGDUA
30,nidoqueen,https://pokeapi.co/api/v2/pokemon/31/,1732007685.616085,GO1SyCugM6fWDQ
31,nidoran-m,https://pokeapi.co/api/v2/pokemon/32/,1732007685.616085,ecviqi3xSb2Y+w
32,nidorino,https://pokeapi.co/api/v2/pokemon/33/,1732007685.616085,zA8MhlVQ+xO4RA
33,nidoking,https://pokeapi.co/api/v2/pokemon/34/,1732007685.616085,fzBq45cP1/5bsA
34,clefairy,https://pokeapi.co/api/v2/pokemon/35/,1732007685.616085,aIngQoRhNVdBTQ
35,clefable,https://pokeapi.co/api/v2/pokemon/36/,1732007685.616085,QdBMjGEC3AKB7g
36,vulpix,https://pokeapi.co/api/v2/pokemon/37/,1732007685.616085,wqI/sjngh0bPfg
37,ninetales,https://pokeapi.co/api/v2/pokemon/38/,1732007685.616085,tQUYc1pCVRwssA
38,jigglypuff,https://pokeapi.co/api/v2/pokemon/39/,1732007685.616085,KF2MfGbB+r++Vg
39,wigglytuff,https://pokeapi.co/api/v2/pokemon/40/,1732007685.616085,bteCJS07Qz2ZqA
40,zubat,https://pokeapi.co/api/v2/pokemon/41/,1732007685.616085,i5n2qwTJQJMznQ
41,golbat,https://pokeapi.co/api/v2/pokemon/42/,1732007685.616085,bbTbawcOO704Ow
42,oddish,https://pokeapi.co/api/v2/pokemon/43/,1732007685.616085,vwWNOgIXVfizLg
43,gloom,https://pokeapi.co/api/v2/pokemon/44/,1732007685.616085,bMtQf3+SBSdoUQ
44,vileplume,https://pokeapi.co/api/v2/pokemon/45/,1732007685.616085,ULrSv6WRHtmlaQ
45,paras,https://pokeapi.co/api/v2/pokemon/46/,1732007685.616085,R8b6ZaS+cPAy0g
46,parasect,https://pokeapi.co/api/v2/pokemon/47/,1732007685.616085,JpuMWP++iPYMEQ
47,venonat,https://pokeapi.co/api/v2/pokemon/48/,1732007685.616085,6Ur+0o9N/7BrCA
48,venomoth,https://pokeapi.co/api/v2/pokemon/49/,1732007685.616085,pNBo5CqwNwufEA
49,diglett,https://pokeapi.co/api/v2/pokemon/50/,1732007685.616085,+QoX7/IbQOMobg
50,dugtrio,https://pokeapi.co/api/v2/pokemon/51/,1732007685.616085,dL+pw8XmnUII6g
51,meowth,https://pokeapi.co/api/v2/pokemon/52/,1732007685.616085,rgidy/UFo0l/lw
52,persian,https://pokeapi.co/api/v2/pokemon/53/,1732007685.616085,05lzpk+PelVk+A
53,psyduck,https://pokeapi.co/api/v2/pokemon/54/,1732007685.616085,PFy1R2M8AGyMiQ
54,golduck,https://pokeapi.co/api/v2/pokemon/55/,1732007685.616085,cBxM5cv5C+LJIQ
55,mankey,https://pokeapi.co/api/v2/pokemon/56/,1732007685.616085,qT59xlvp4F+7fQ
56,primeape,https://pokeapi.co/api/v2/pokemon/57/,1732007685.616085,qrU4DPWlzFuPyw
57,growlithe,https://pokeapi.co/api/v2/pokemon/58/,1732007685.616085,rsCBKDEUkyBo5A
58,arcanine,https://pokeapi.co/api/v2/pokemon/59/,1732007685.616085,oN1dd2W4RxOdaA
59,poliwag,https://pokeapi.co/api/v2/pokemon/60/,1732007685.616085,F/KqJlb+y7pweA
60,poliwhirl,https://pokeapi.co/api/v2/pokemon/61/,1732007685.616085,bjAcVFTYGy61aw
61,poliwrath,https://pokeapi.co/api/v2/pokemon/62/,1732007685.616085,NO4U3+FHx+UOvw
62,abra,https://pokeapi.co/api/v2/pokemon/63/,1732007685.616085,AYJcG0iFhOc7dg
63,kadabra,https://pokeapi.co/api/v2/pokemon/64/,1732007685.616085,oBNfoLvXi79Qmw
64,alakazam,https://pokeapi.co/api/v2/pokemon/65/,1732007685.616085,cOLWNzdW5EmRnA
65,machop,https://pokeapi.co/api/v2/pokemon/66/,1732007685.616085,+cEH873h2tx1Mw
66,machoke,https://pokeapi.co/api/v2/pokemon/67/,1732007685.616085,+d3YlIODszXxeQ
67,machamp,https://pokeapi.co/api/v2/pokemon/68/,1732007685.616085,+79DcuirijrCtA
68,bellsprout,https://pokeapi.co/api/v2/pokemon/69/,1732007685.616085,JLydulizkSO3Xg
69,weepinbell,https://pokeapi.co/api/v2/pokemon/70/,1732007685.616085,RBaGPxGoHhBsvA
70,victreebel,https://pokeapi.co/api/v2/pokemon/71/,1732007685.616085,R/CImZ4h2jsgGQ
71,tentacool,https://pokeapi.co/api/v2/pokemon/72/,1732007685.616085,XwnoHyjwxQDfEQ
72,tentacruel,https://pokeapi.co/api/v2/pokemon/73/,1732007685.616085,p2jS5ASIFLUKLQ
73,geodude,https://pokeapi.co/api/v2/pokemon/74/,1732007685.616085,gqkAUwIPiHDo5A
74,graveler,https://pokeapi.co/api/v2/pokemon/75/,1732007685.616085,++Ih/pY3avZMXQ
75,golem,https://pokeapi.co/api/v2/pokemon/76/,1732007685.616085,Fc14Q40E9RVe3g
76,ponyta,https://pokeapi.co/api/v2/pokemon/77/,1732007685.616085,vH+cOgeiMh6cFw
77,rapidash,https://pokeapi.co/api/v2/pokemon/78/,1732007685.616085,tALikGIq0Gr3xA
78,slowpoke,https://pokeapi.co/api/v2/pokemon/79/,1732007685.616085,kwiEU1kYAELH8g
79,slowbro,https://pokeapi.co/api/v2/pokemon/80/,1732007685.616085,GHjpydwhCXW5jA
80,magnemite,https://pokeapi.co/api/v2/pokemon/81/,1732007685.616085,hOUz8gGqX/NSfA
81,magneton,https://pokeapi.co/api/v2/pokemon/82/,1732007685.616085,GEElfa9d+VIlUg
82,farfetchd,https://pokeapi.co/api/v2/pokemon/83/,1732007685.616085,gvSo+M4SvkudzQ
83,doduo,https://pokeapi.co/api/v2/pokemon/84/,1732007685.616085,XVXJgefoYBZHzg
84,dodrio,https://pokeapi.co/api/v2/pokemon/85/,1732007685.616085,BRtwy6wXtFR23A
85,seel,https://pokeapi.co/api/v2/pokemon/86/,1732007685.616085,3974thI9kVZJ4w
86,dewgong,https://pokeapi.co/api/v2/pokemon/87/,1732007685.616085,M2b1NGO0ZnWlSw
87,grimer,https://pokeapi.co/api/v2/pokemon/88/,1732007685.616085,O0OjRUfzM87xqg
88,muk,https://pokeapi.co/api/v2/pokemon/89/,1732007685.616085,VCTz0crcSDDgEw
89,shellder,https://pokeapi.co/api/v2/pokemon/90/,1732007685.616085,iqYNnfJpvXU4/Q
90,cloyster,https://pokeapi.co/api/v2/pokemon/91/,1732007685.616085,yh1rkn6hgdKONg
91,gastly,https://pokeapi.co/api/v2/pokemon/92/,1732007685.616085,2Kj8o1Cvi5OpIA
92,haunter,https://pokeapi.co/api/v2/pokemon/93/,1732007685.616085,zcRnOR4qust7Yg
93,gengar,https://pokeapi.co/api/v2/pokemon/94/,1732007685.616085,6vKtgyqc60Nhig
94,onix,https://pokeapi.co/api/v2/pokemon/95/,1732007685.616085,oqrDOGGc9dF28w
95,drowzee,https://pokeapi.co/api/v2/pokemon/96/,1732007685.616085,HoAFa2rr2IAmxg
96,hypno,https://pokeapi.co/api/v2/pokemon/97/,1732007685.616085,WKvRSQPZbXF1aQ
97,krabby,https://pokeapi.co/api/v2/pokemon/98/,1732007685.616085,r8n30s5oTRILNw
98,kingler,https://pokeapi.co/api/v2/pokemon/99/,1732007685.616085,K3nhOVFGEwMJHg
99,voltorb,https://pokeapi.co/api/v2/pokemon/100/,1732007685.616085,bnveqkpvsJzf5w
100,electrode,https://pokeapi.co/api/v2/pokemon/101/,1732007685.616085,qDe7ouEcLne+GA
101,exeggcute,https://pokeapi.co/api/v2/pokemon/102/,1732007685.616085,t/Z4pgbnhovR9w
102,exeggutor,https://pokeapi.co/api/v2/pokemon/103/,1732007685.616085,i8YxOiHNAyNwMQ
103,cubone,https://pokeapi.co/api/v2/pokemon/104/,1732007685.616085,bwtvKydmfp9Q1Q
104,marowak,https://pokeapi.co/api/v2/pokemon/105/,1732007685.616085,/6700A8gDNksYA
105,hitmonlee,https://pokeapi.co/api/v2/pokemon/106/,1732007685.616085,GTjTJs7+x33IQQ
106,hitmonchan,https://pokeapi.co/api/v2/pokemon/107/,1732007685.616085,NDgBrXD/Lir72g
107,lickitung,https://pokeapi.co/api/v2/pokemon/108/,1732007685.616085,4tAEKDdLYm8wtw
108,koffing,https://pokeapi.co/api/v2/pokemon/109/,1732007685.616085,rItpmE7kho+8ew
109,weezing,https://pokeapi.co/api/v2/pokemon/110/,1732007685.616085,QMUFznuv4K6Vkg
110,rhyhorn,https://pokeapi.co/api/v2/pokemon/111/,1732007685.616085,4HIrjJFMfGJIrw
111,rhydon,https://pokeapi.co/api/v2/pokemon/112/,1732007685.616085,k9LzPs/+OdXczA
112,chansey,https://pokeapi.co/api/v2/pokemon/113/,1732007685.616085,w5seGmyrj/sq2w
113,tangela,https://pokeapi.co/api/v2/pokemon/114/,1732007685.616085,YyPoaQKsBoNtSw
114,kangaskhan,https://pokeapi.co/api/v2/pokemon/115/,1732007685.616085,LaJEFMgPSPQX5A
115,horsea,https://pokeapi.co/api/v2/pokemon/116/,1732007685.616085,zXLvmo7BxUG3yg
116,seadra,https://pokeapi.co/api/v2/pokemon/117/,1732007685.616085,KslB5BEVeklchw
117,goldeen,https://pokeapi.co/api/v2/pokemon/118/,1732007685.616085,nTuE9VD5PJy2aw
118,seaking,https://pokeapi.co/api/v2/pokemon/119/,1732007685.616085,NVsUCeTa9/Ps4g
119,staryu,https://pokeapi.co/api/v2/pokemon/120/,1732007685.616085,SEhfyJN5barczA
120,starmie,https://pokeapi.co/api/v2/pokemon/121/,1732007685.616085,9LrooTDAP73Arw
121,mr-mime,https://pokeapi.co/api/v2/pokemon/122/,1732007685.616085,P502XDCZwQuydA
122,scyther,https://pokeapi.co/api/v2/pokemon/123/,1732007685.616085,xV3pJXlgOoaUnQ
123,jynx,https://pokeapi.co/api/v2/pokemon/124/,1732007685.616085,uuIZlzlWjreYQg
124,electabuzz,https://pokeapi.co/api/v2/pokemon/125/,1732007685.616085,hAjmjYYqSrWc1Q
125,magmar,https://pokeapi.co/api/v2/pokemon/126/,1732007685.616085,K6n2E5EV1iSn6A
126,pinsir,https://pokeapi.co/api/v2/pokemon/127/,1732007685.616085,alpl4DcBw+eJNQ
127,tauros,https://pokeapi.co/api/v2/pokemon/128/,1732007685.616085,PK/dw+dO72GBZA
128,magikarp,https://pokeapi.co/api/v2/pokemon/129/,1732007685.616085,53O9R+5edv3JBw
129,gyarados,https://pokeapi.co/api/v2/pokemon/130/,1732007685.616085,1sZJMzflOUFy5g
130,lapras,https://pokeapi.co/api/v2/pokemon/131/,1732007685.616085,3B5WQFBIVYDkYQ
131,ditto,https://pokeapi.co/api/v2/pokemon/132/,1732007685.616085,7fDErK5xvzYnLQ
132,eevee,https://pokeapi.co/api/v2/pokemon/133/,1732007685.616085,HDTB9pQJbzXzug
133,vaporeon,https://pokeapi.co/api/v2/pokemon/134/,1732007685.616085,xoeH9/OZ/wvjow
134,jolteon,https://pokeapi.co/api/v2/pokemon/135/,1732007685.616085,ampqxFL7FTKm+g
135,flareon,https://pokeapi.co/api/v2/pokemon/136/,1732007685.616085,CSMcVML8cgnfWA
136,porygon,https://pokeapi.co/api/v2/pokemon/137/,1732007685.616085,NRS5I0SuGSgMCA
137,omanyte,https://pokeapi.co/api/v2/pokemon/138/,1732007685.616085,fzUw2mvlxpWpbA
138,omastar,https://pokeapi.co/api/v2/pokemon/139/,1732007685.616085,curzwd+1TKfTWg
139,kabuto,https://pokeapi.co/api/v2/pokemon/140/,1732007685.616085,UERGNVQB0+FcXg
140,kabutops,https://pokeapi.co/api/v2/pokemon/141/,1732007685.616085,WBcYq1rwphvVGw
141,aerodactyl,https://pokeapi.co/api/v2/pokemon/142/,1732007685.616085,by1wxm+7JxlcVQ
142,snorlax,https://pokeapi.co/api/v2/pokemon/143/,1732007685.616085,H1zEIJAa0t/kEg
143,articuno,https://pokeapi.co/api/v2/pokemon/144/,1732007685.616085,Dg6LeVZ3WNXcNA
144,zapdos,https://pokeapi.co/api/v2/pokemon/145/,1732007685.616085,5pKu0UEXg08gcQ
145,moltres,https://pokeapi.co/api/v2/pokemon/146/,1732007685.616085,H7mfWG2ROKxa8Q
146,dratini,https://pokeapi.co/api/v2/pokemon/147/,1732007685.616085,f661Q3mjhE0PmQ
147,dragonair,https://pokeapi.co/api/v2/pokemon/148/,1732007685.616085,Re2c9eMsEkVn/w
148,dragonite,https://pokeapi.co/api/v2/pokemon/149/,1732007685.616085,/6nkJHCeqIYuhA
149,mewtwo,https://pokeapi.co/api/v2/pokemon/150/,1732007685.616085,MyKrBWvd6mlmVw
150,mew,https://pokeapi.co/api/v2/pokemon/151/,1732007685.616085,cvCfsEmiAoahVg
151,chikorita,https://pokeapi.co/api/v2/pokemon/152/,1732007685.616085,54JgQ+SKBAfQ4Q
152,bayleef,https://pokeapi.co/api/v2/pokemon/153/,1732007685.616085,nY70al/So1r/EA
